Ваш возраст;Ваш Пол;На каком вы курсе;Ваше отношение к учебе :;Есть ли у вас хобби, и если есть то какое ?;Укажите ваше среднее экранное время в часах(!) в рабочие дни :;Укажите ваше среднее экранное время в часах(!) по выходным :;работаете ли вы ?;Считаете ли вы себя зависимым от гаджетов ?;Занимаетесь ли вы спортом?;"""Спортивный"" ли вы человек ?";Каким гаджетом вы пользуетесь чаще всего ?;Какими категориями приложений вы пользуетесь чаще всего?;Отвлекают ли вас уведомления от дел?;"Пользуетесь ли вы режимом ""не беспокоить""?";Ведете ли вы конспекты в тетрадях?;Ведете ли вы конспекты в планшетах/ноутбуке?;Много ли у вас свободного времени?;Общительный ли вы человек ?;Часто ли вы смотрите контент связанный с учебой?;Часто ли вы смотрите развлекательный контент ?;Каков ваш средний балл?;Ваше место учебы?;Как часто вы берете с собой в вуз зарядку или повербанк?;"Спустя какое время, после того как вы отвлеклись вы возвращаетесь к делам?
Напишите примерное время в минутах"
22;М;4 спец;6;Музыка ;9;6;нет;8;нет;3;Телефон;Соцсети, Видеохостинг;6;0;7;0;10;4;2;10;3.5-4.0;МГУ;1;10
21;М;5 спец;9;Киберспорт;2;10;нет;7;да;8;Телефон;Видеохостинг, Музыка, Игры;2;7;10;0;6;5;6;9;4.5-5.0;МГУ;0;5
18;М;1 спец;5;Чилить;25;27;нет;0;да;7;Газета;Голубинная почта;0;10;0;0;10;10;0;10;4.5-5.0;МГУ;1;0
19;М;2 спец;8;Акробатический рок-н-ролл, DIY;6;6;да;2;да;10;Телефон;Соцсети, Музыка;3;3;0;10;0;8;6;8;4.5-5.0;МГУ;2;1
20;Ж;3 спец;3;Есть, кондитерское дело ;5;3;да;7;да;8;Телефон;Соцсети;4;3;6;8;4;8;3;6;4.0-4.5;Другой ВУЗ;1;10
21;Ж;3 спец;8;Спорт, готовка ;9;5;нет;7;да;8;Телефон;Соцсети, Музыка, Игры;7;4;3;8;5;10;3;7;4.5-5.0;Другой ВУЗ;5;15
21;М;4 спец;3;Футбол, Кино, Литература;10;3;да;2;да;8;Компьютер;Соцсети, Музыка, Книги, Рабочая среда ;5;5;4;2;2;7;7;7;3.5-4.0;МГУ;0;3
18;М;1 спец;5;Ничего не делаю, абсолютно;23;24;нет;10;нет;10;Всем из перечисленного;Соцсети, Видеохостинг, Музыка, Игры, Книги, ;10;0;0;0;10;0;0;10;4.5-5.0;МГУ;0;1
20;М;3 спец;8;Прогулки на велосипеде ;6;9;нет;6;да;7;Телефон;Соцсети, Видеохостинг, Музыка;5;8;3;9;4;8;8;4;3.5-4.0;МГУ;8;10
20;Ж;3 спец;3;рисование;10;7;да;10;нет;5;Телефон;Соцсети, Видеохостинг;6;10;0;0;3;8;0;8;4.0-4.5;Другой ВУЗ;0;60
19;Ж;2 спец;7;Много хобби, на все времени не хватает, но для каждого с разной периодичностью время нахожу: живопись, настольные игры, вышивка, керамика, книги, авторское кино, ;4;5;нет;5;да;6;Телефон;Соцсети, Видеохостинг, Музыка;7;2;4;1;1;6;4;4;4.5-5.0;МГУ;9;10
20;М;4 спец;8;качалочка;9;6;да;9;да;5;Телефон;Видеохостинг, Игры;4;5;1;0;6;5;2;8;4.0-4.5;МГУ;8;30
20;М;2 спец;5;кампутер;7;7;нет;8;да;10;Телефон;Соцсети, Видеохостинг;5;2;8;0;8;10;3;10;3.5-4.0;Другой ВУЗ;6;6
19;М;2 спец;10;Да, наука;5;8;да;10;да;10;Телефон;Соцсети, Игры;10;0;10;0;5;8;8;8;4.5-5.0;Другой ВУЗ;0;10
19;М;2 спец;3;Спорт;2;3;да;5;да;10;Компьютер;Музыка;0;3;3;0;0;10;0;0;3.5-4.0;Другой ВУЗ;0;10
20;Ж;1 спец;5;танцы;6;8;нет;10;нет;1;Телефон;Соцсети, Видеохостинг, Музыка;10;0;3;0;3;1;5;6;4.5-5.0;Другой ВУЗ;2;2
17;Ж;1 спец;8;рисовать, снимать видео, читать, смотреть фильмы;4;7;нет;5;нет;3;Телефон;Соцсети, Видеохостинг, Музыка;7;10;10;6;3;6;7;7;4.5-5.0;Другой ВУЗ;5;25
19;М;2 спец;2;Ничего не приходит в голову;6;6;да;7;да;3;Телефон;Соцсети, Музыка, Игры;5;5;10;0;1;7;4;7;3.5-4.0;Другой ВУЗ;3;10
19;Ж;1 спец;5;Писательство, рисование, просмотр кино, изучение психологии;8;10;нет;9;нет;0;Телефон;Соцсети, Видеохостинг, Музыка;5;10;10;0;5;4;0;7;4.5-5.0;Другой ВУЗ;0;10
18;М;1 спец;7;Фотография, игра на гитаре;8;9;нет;9;да;8;Телефон;Видеохостинг, Музыка;10;2;6;0;9;6;4;6;4.5-5.0;Другой ВУЗ;5;0
21;М;2 спец;4;Нет;5;5;нет;9;да;10;Телефон;Музыка;4;0;5;0;6;9;0;6;3.5-4.0;Другой ВУЗ;0;36
18;Ж;2 спец;4;нет;8;8;да;2;нет;1;Телефон;Соцсети, Видеохостинг;1;9;8;0;0;9;0;9;3.5-4.0;Другой ВУЗ;0;1
19;Ж;1 спец;10;Да - вязание, рисование, сочинение стихов ;4;3;да;10;да;10;Телефон;Соцсети;10;5;1;1;0;10;10;0;4.5-5.0;Другой ВУЗ;1;2
21;Ж;4 спец;8;Чтение ;4;2;нет;7;нет;3;Телефон;Соцсети, Музыка;5;6;8;0;5;5;2;8;4.5-5.0;МГУ;3;10
17;Ж;1 спец;2;Игра на барабанах, картинг;7;5;нет;7;да;5;Телефон;Соцсети, Видеохостинг, Музыка, Игры;9;8;0;10;1;10;3;8;3.0-3.5;МГУ;10;25
19;М;1 спец;7;Есть, спорт ;5;3;нет;5;да;8;Телефон;Соцсети, Музыка;3;9;8;0;6;8;5;5;3.5-4.0;МГУ;0;60
24;Ж;2 маг;2;Изучение английского;6;4;да;9;да;5;Телефон;Соцсети, Музыка, Книги;10;3;2;0;3;10;3;7;4.0-4.5;Другой ВУЗ;10;15
24;М;1 маг;5;Нету;5;4;да;5;да;7;Телефон;Видеохостинг;6;10;5;0;0;7;7;5;4.5-5.0;Другой ВУЗ;0;1
